Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Summer,Athlete,Carleigh,Hiltz,Para Athletics,Active,True,True,SR,Canadian Elite,Female,,Carleigh Hiltz
Summer,Athlete,Brodie,Hofer,Volleyball,Active,True,True,SR,Canadian Elite,Male,,Brodie Hofer
Winter,Athlete,Courtney,Hoffos,Ski Cross,Active,True,True,SR1,Canadian Elite,Female,,Courtney Hoffos
Summer,Athlete,Asia,Hogan-Rochester,Rugby,Incomplete,True,False,SR1,Canadian Elite,Female,,Asia Hogan-Rochester
Summer,Athlete,Junior,Hoilett,Soccer,,True,False,SR,Canadian Elite,,,Junior Hoilett
Winter,Athlete,Chris,Holmstead,Bobsleigh,Incomplete,True,False,D,Canadian Elite,Male,,Chris Holmstead
Winter,Athlete,Reece,Howden,Ski Cross,Active,True,True,SR1,Canadian Elite,Male,,Reece Howden
Summer,Athlete,Cooper,Humphreys,Golf,,True,False,SR,Canadian Elite,,,Cooper Humphreys
Winter,Athlete,Brendon,Hurst-Elias,Para Ice Hockey,Incomplete,True,True,D,Canadian Elite,Male,,Brendon Hurst-Elias
Winter,Athlete,Lewis,Irving,Freestyle Ski,,True,False,SR,Canadian Elite,,,Lewis Irving
Summer,Athlete,Jenn,Jackson,Cycling,Active,True,True,SR,Canadian Elite,Female,,Jenn Jackson
Summer,Athlete,Daniel,Jebbison,Soccer,,True,False,SR,Canadian Elite,,,Daniel Jebbison
Summer,Athlete,Mary,Jibb,Para Swimming,Active,True,True,SR1,Canadian Elite,Female,,Mary Jibb
Winter,Athlete,Francis,Jobin,Snowboard,,True,False,SR,Canadian Elite,,,Francis Jobin
Summer,Athlete,Thomas,Jodoin,Cycling,Active,True,True,D,Canadian Elite,Male,,Thomas Jodoin
Summer,Athlete,Karli,Johansen,Field Hockey,Active,True,True,SR,Canadian Elite,Female,,Karli Johansen
Summer,Athlete,Alistair,Johnston,Soccer,,True,False,SR,Canadian Elite,,,Alistair Johnston
Summer,Athlete,Alfie,Jones,Soccer,,True,False,SR,Canadian Elite,,,Alfie Jones
Summer,Athlete,Ian,Jones,Rugby,,True,False,D,Canadian Elite,,,Ian Jones
Summer,Athlete,Flrianne,Jourde,Soccer,,True,False,SR,Canadian Elite,,,Flrianne Jourde
Summer,Athlete,Sara,Kaljuvee,Rugby,Active,True,True,GamePlan - Retired,Canadian Elite,Female,,Sara Kaljuvee
Summer,Athlete,Rio,Kanda Kovac,Wheelchair Rugby,,True,False,SR,Canadian Elite,,,Rio Kanda Kovac
Summer,Athlete,Fillah,Karim,Sailing,Active,True,True,GamePlan - Retired,Canadian Elite,Male,,Fillah Karim
Winter,Athlete,Rachel,Karker,Freestyle Ski,,True,False,SR1,Canadian Elite,,,Rachel Karker
Winter,Athlete,Jake,Kertesz-Knight,Alpine Ski,Incomplete,True,False,D,Canadian Elite,Male,,Jake Kertesz-Knight
Winter,Athlete,Jesse,Kertesz-Knight,Alpine Ski,Incomplete,True,False,D,Canadian Elite,Male,,Jesse Kertesz-Knight
Summer,Athlete,Reese,Ketler,Wheelchair Rugby,,True,False,D,Canadian Elite,,,Reese Ketler
Winter,Athlete,Mikael,Kingsbury,Freestyle Ski,,True,False,SR1,Canadian Elite,,,Mikael Kingsbury
